Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Turns Ratio - Primary:Secondary","Impedance - Primary (Ohms)","Impedance - Secondary (Ohms)","DC Resistance (DCR) - Primary","DC Resistance (DCR) - Secondary","Transformer Type","Frequency Range","Frequency Response","Voltage - Isolation","Insertion Loss","Return Loss","Power Level","Operating Temperature","Approval Agency","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
"http://catalog.triadmagnetics.com/Asset/TY-307P.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/TY-307P.jpg","237-1130-ND","TY-307P","Triad Magnetics","Triad Magnetics","TRANSF 600 OHM 0MA DC TEL","1,513","8.03","0","1","Bulk","TY","Active","1:1.07","600","600","43Ohm","61Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VAC","1dB Typ","26dB Typ","-45dB ~ 7dB","-20°C ~ 85°C","-","Through Hole","0.670"" L x 0.781"" W (17.02mm x 19.84mm)","0.470"" (11.94mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/T1104.pdf","//media.digikey.com/photos/Tamura%20Photos/T1104.jpg","MT4112-ND","T1104","Tamura","Tamura","TRANSFORMER TELE 600 OHM 0 MADC","1,487","9.78","0","1","Tray","-","Active","-","600","600","46Ohm","63Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VRMS @ 1 Minute","1dB Typ @ 1kHz","26dB Min","-45dB ~ 7dB","-","CSA-C22.2 No. 950-M89, UL1459, UL1950","Through Hole","0.780"" L x 0.654"" W (19.80mm x 16.60mm)","0.469"" (11.90mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/TTC-170.pdf","//media.digikey.com/photos/Tamura%20Photos/TTC-170.jpg","MT4140-ND","TTC-170","Tamura","Tamura","TRANSF TELE COUP 600:600 0MADC","198","10.01","0","1","Bulk","TTC","Active","1:1","600","600","47Ohm","61Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±0.5dB","1500VRMS @ 1 Minute","1.5dB Max @ 1kHz","-","-","0°C ~ 70°C","CSA-C22.2 No. 66-M1988, UL1459","Through Hole","0.528"" L x 0.512"" W (13.40mm x 13.00mm)","0.421"" (10.70mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-39.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-28,%20MET-39,%20MET-42,%20MET-46.jpg","MT4155-ND","MET-39","Tamura","Tamura","TRANSFORMER 500:50 3.0MADC","966","15.02","0","1","Bulk","MET","Active","3.16:1","500","50","55Ohm","8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-46.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-28,%20MET-39,%20MET-42,%20MET-46.jpg","MT4110-ND","MET-46","Tamura","Tamura","TEL TRANS 600:600 3.0MADC","1,188","15.04","0","1","Bulk","MET","Active","1:1","600","600","85Ohm","110Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±1dB","1500VRMS @ 1 Minute","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-35.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-35.jpg","MT4153-ND","MET-35","Tamura","Tamura","TRANSFORMER 600CT:8 4.5MADC","3,683","15.23","0","1","Bulk","MET","Active","8.66:1","600CT","8","60Ohm","1.5Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-23.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-23,%20MET-29,%20MET-39.jpg","MT4148-ND","MET-23","Tamura","Tamura","TRANSFORMER 1.6KCT:3.2 2.5MADC","1,462","15.6","0","1","Bulk","MET","Active","22.4:1","1.6kCT","3.2","230Ohm","1Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±3dB","500VRMS @ 30 Seconds","-","-","65mW Max @ 300Hz","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-60.pdf","//media.digikey.com/Photos/Tamura%20Photos/MET-60.jpg","MT7364-ND","MET-60","Tamura","Tamura","TRANSFORMER 135:135CT 10.0MADC","4,106","15.62","0","1","Bulk","MET","Active","1:1","135","135CT","10.5Ohm","10.8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1500VRMS @ 1 Minute","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-32.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-32.jpg","MT4151-ND","MET-32","Tamura","Tamura","TRANSFORMER 600:600CT 3.0MADC","394","15.69","0","1","Bulk","MET","Active","2:1:1","600","600, 150/150","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-31.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg","MT4111-ND","MET-31","Tamura","Tamura","TRANSFORMER 600CT:600CT 3.0MADC","2,224","16.19","0","1","Bulk","MET","Active","1:1","600CT","600CT","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
