Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.yageo.com/upload/media/product/products/datasheet/lr/Yageo_LR_MFP_1.pdf","//media.digikey.com/Renders/Yageo%20Renders/MFP-25BRD52-100K.jpg","100KADTR-ND,100KADCT-ND","MFP-25BRD52-100K","Yageo","Yageo","RES 100K OHM 1/4W 0.1% AXIAL","225","0.95","0","1","Tape & Reel (TR),Cut Tape (CT)","MFP","Active","100 kOhms","±0.1%","0.25W, 1/4W","Metal Film","-","±25ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-rnf_rnmf.pdf","//media.digikey.com/Renders/Stackpole%20Renders/RNF14%2010k.jpg","RNF14BTE10K0TR-ND,RNF14BTE10K0CT-ND","RNF14BTE10K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 10K OHM 1/4W .1% AXIAL","40,440","0.82","0","1","Tape & Reel (TR),Cut Tape (CT)","RNF","Active","10 kOhms","±0.1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±25ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
"https://www.seielect.com/catalog/sei-rnf_rnmf.pdf","//media.digikey.com/Renders/Stackpole%20Renders/RNF14%20100k.jpg","RNF14BTE100KTR-ND,RNF14BTE100KCT-ND","RNF14BTE100K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 100K OHM 1/4W .1% AXIAL","32,977","0.82","0","1","Tape & Reel (TR),Cut Tape (CT)","RNF","Active","100 kOhms","±0.1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±25ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
"https://www.vishay.com/docs/28729/pr010203.pdf","//media.digikey.com/Renders/Vishay%20BC%20Renders/47k-Ohm-5%25-Axial-red-coating.jpg","PPC47KW-3JCT-ND,PPC47KW-3JTB-ND","PR03000204702JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 47K OHM 3W 5% AXIAL","29,359","0.84","0","1","Cut Tape (CT),Tape & Box (TB)","PR03","Active","47 kOhms","±5%","3W","Metal Film","Flame Retardant Coating, Safety","±250ppm/°C","-55°C ~ 155°C","Axial","Axial","0.205"" Dia x 0.657"" L (5.20mm x 16.70mm)","-","2","-"
"https://www.vishay.com/docs/28730/acac-at.pdf","//media.digikey.com/photos/Vishay%20Phoenix/AC03%20SERIES.jpg","PPC3W100CT-ND,PPC3W100TB-ND","AC03000001000JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 100 OHM 3W 5% AXIAL","44,708","0.96","0","1","Cut Tape (CT),Tape & Box (TB)","AC","Active","100 Ohms","±5%","3W","Wirewound","Flame Retardant Coating, Pulse Withstanding, Safety","-10/ -80ppm/°C","-40°C ~ 275°C","Axial","Axial","0.189"" Dia x 0.512"" L (4.80mm x 13.00mm)","-","2","-"
"https://www.vishay.com/docs/28730/acac-at.pdf","//media.digikey.com/photos/Vishay%20Phoenix/AC03%20SERIES.jpg","PPC3W10.0CT-ND,PPC3W10.0TB-ND","AC03000001009JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 10 OHM 3W 5% AXIAL","14,299","0.96","0","1","Cut Tape (CT),Tape & Box (TB)","AC","Active","10 Ohms","±5%","3W","Wirewound","Flame Retardant Coating, Pulse Withstanding, Safety","-10/ -80ppm/°C","-40°C ~ 275°C","Axial","Axial","0.189"" Dia x 0.512"" L (4.80mm x 13.00mm)","-","2","-"
"https://www.vishay.com/docs/28907/vr25vr37vr68.pdf","//media.digikey.com/Renders/Vishay%20BC%20Renders/33M-Ohm-5%25.jpg","VR68J33MCT-ND,VR68J33MTB-ND","VR68000003305JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 33M OHM 1W 5% AXIAL","17,240","0.96","0","1","Cut Tape (CT),Tape & Box (TB)","VR68","Active","33 MOhms","±5%","1W","Metal Film","High Voltage, Pulse Withstanding","±200ppm/°C","-55°C ~ 155°C","Axial","Axial","0.268"" Dia x 0.709"" L (6.80mm x 18.00mm)","-","2","-"
"https://www.vishay.com/docs/28907/vr25vr37vr68.pdf","//media.digikey.com/Renders/Vishay%20BC%20Renders/1m-5%25-Axial.jpg","VR68J1.0MCT-ND,VR68J1.0MTB-ND","VR68000001004JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 1M OHM 1W 5% AXIAL","4,795","0.96","0","1","Cut Tape (CT),Tape & Box (TB)","VR68","Active","1 MOhms","±5%","1W","Metal Film","High Voltage, Pulse Withstanding","±200ppm/°C","-55°C ~ 155°C","Axial","Axial","0.268"" Dia x 0.709"" L (6.80mm x 18.00mm)","-","2","-"
"https://www.vishay.com/docs/28730/acac-at.pdf","//media.digikey.com/photos/Vishay%20Phoenix/AC01%20SERIES.jpg","PPC5W100CT-ND,PPC5W100TB-ND","AC05000001000JAC00","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 100 OHM 5W 5% AXIAL","17,785","0.96","0","1","Cut Tape (CT),Tape & Box (TB)","AC","Active","100 Ohms","±5%","5W","Wirewound","Flame Retardant Coating, Pulse Withstanding, Safety","-10/ -80ppm/°C","-40°C ~ 275°C","Axial","Axial","0.295"" Dia x 0.709"" L (7.50mm x 18.00mm)","-","2","-"
"https://www.vishay.com/docs/28731/pacserie.pdf","//media.digikey.com/Renders/Vishay%20BC%20Renders/PAC03.jpg","PPC3D1.0CT-ND,PPC3D1.0TB-ND","PAC300001008FAC000","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","RES 1 OHM 3W 1% AXIAL","6,098","1.05","0","1","Cut Tape (CT),Tape & Box (TB)","PAC","Active","1 Ohms","±1%","3W","Wirewound","Flame Retardant Coating, Pulse Withstanding, Safety","±100ppm/°C","-55°C ~ 275°C","Axial","Axial","0.217"" Dia x 0.650"" L (5.50mm x 16.50mm)","-","2","-"
