Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance @ Vr, F","Capacitance Ratio","Capacitance Ratio Condition","Voltage - Peak Reverse (Max)","Diode Type","Q @ Vr, F","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"//media.digikey.com/pdf/Data%20Sheets/Skyworks%20PDFs/SMV1247-55_Series_9-12-19.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1623-2-ND,863-1623-1-ND,863-1623-6-ND","SMV1248-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 15V 20MA SC-79","8,242","1.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1.7pF @ 4.7V, 50MHz","12","C0.3/C4.7","15 V","Single","700 @ 3V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"//media.digikey.com/pdf/Data%20Sheets/Skyworks%20PDFs/SMV1247-55_Series_9-12-19.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOD323;;2.jpg","863-1284-2-ND,863-1284-1-ND,863-1284-6-ND","SMV1255-011LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 15V 20MA SOD323","4,711","1.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","5.8pF @ 4.7V, 50MHz","12.3","C0.3/C4.7","15 V","Single","350 @ 3V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-76, SOD-323","SOD-323"
"//media.digikey.com/pdf/Data%20Sheets/Skyworks%20PDFs/SMV1247-55_Series_9-12-19.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1719-2-ND,863-1719-1-ND,863-1719-6-ND","SMV1251-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","7,167","1.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","3.8pF @ 4.7V, 50MHz","12.2","C0.3/C4.7","15 V","Single","400 @ 3V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv2019_to_smv2023_series_200074q#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1290-2-ND,863-1290-1-ND,863-1290-6-ND","SMV2019-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 22V 20MA SC79","9,864","1.93","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","0.34pF @ 20V, 50MHz","2.3","C4/C20","22 V","Single","500 @ 4V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"http://cdn.macom.com/datasheets/MAVR-000120-1411.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/MAVR-000120-14110G.jpg","1465-1779-ND","MAVR-000120-14110G","MACOM Technology Solutions","MACOM Technology Solutions","DIODE VARACTOR","1,400","4","0","100","Tray","-","Active","0.2pF @ 10V, 1MHz","-","-","20 V","Single","3000 @ 4V, 50MHz","-40°C ~ 125°C (TJ)","Surface Mount","2-XFDFN, FCDFN","2-FlipChip"
"https://cdn.macom.com/datasheets/MA46H120%20Series.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/MA46H120.JPG","1465-1011-ND","MA46H120","MACOM Technology Solutions","MACOM Technology Solutions","VARACTORDIODE FLIPCHIP GAAS","600","5.5099","0","100","Bulk","-","Active","0.2pF @ 10V, 1MHz","-","-","20 V","Single","3000 @ 4V, 50MHz","-40°C ~ 125°C (TJ)","Surface Mount","2-SMD","-"
"http://cdn.macom.com/datasheets/MA46%20Series.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/MA46H070-1056.JPG","1465-1010-ND","MA46H070-1056","MACOM Technology Solutions","MACOM Technology Solutions","DIODE VARACTOR .75 HYPER GAAS SL","200","27.6072","0","100","Bulk","-","Active","0.7pF @ 4V, 1MHz","5.5","C0/C20","20 V","Single","4500 @ 4V, 50MHz","-65°C ~ 150°C (TJ)","Surface Mount","2-SMD","-"
"http://cdn.macom.com/datasheets/MA46%20Series.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/1056.JPG","1465-1014-ND","MA46H203-1056","MACOM Technology Solutions","MACOM Technology Solutions","DIODE VARACTOR DUAL GAAS","197","32.2944","0","100","Bulk","-","Active","5.5pF @ 4V, 1MHz","10","C2/C20","22 V","Single","1500 @ 4V, 50MHz","-65°C ~ 150°C (TJ)","Surface Mount","2-SMD","-"
"http://cdn.macom.com/datasheets/MA46%20Series.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/1056.JPG","1465-1015-ND","MA46H204-1056","MACOM Technology Solutions","MACOM Technology Solutions","DIODE VARACTOR DUAL GAAS","110","32.2944","0","100","Bulk","-","Active","11pF @ 4V, 1MHz","10","C2/C20","22 V","Single","1500 @ 4V, 50MHz","-65°C ~ 150°C (TJ)","Surface Mount","2-SMD","-"
"https://www.infineon.com/dgdl/bb535series_bb555series.pdf?folderId=db3a304313d846880113d98def1d0130&fileId=db3a304313d846880113d99d5153013c","//media.digikey.com/Renders/Infineon%20Renders/SC-76,%20SOD-323,%20UMD2.jpg","BB535E7904HTSA1TR-ND,BB535E7904HTSA1CT-ND,BB535E7904HTSA1DKR-ND","BB535E7904HTSA1","Infineon Technologies","Infineon Technologies","DIODE VAR CAP 30V 20MA SOD-323","13,459","0.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Not For New Designs","2.3pF @ 28V, 1MHz","9.8","C1/C28","30 V","Single","-","-55°C ~ 150°C (TJ)","Surface Mount","SC-76, SOD-323","PG-SOD323-2"
