Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Type","Circuit","Independent Circuits","Current - Output High, Low","Voltage Supply Source","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://www.renesas.com/us/en/document/dst/74cbtlv3257-datasheet","//media.digikey.com/Renders/IDT,%20Integrated%20Device%20Technology%20Renders/800;PGG16;EJ,G,PGG;16.jpg","800-1570-5-ND","74CBTLV3257PGG","Renesas Electronics America Inc","Renesas Electronics America Inc","IC MUX/DEMUX 4 X 1:2 16TSSOP","3,209","1.66","0","1","Tube","74CBTLV","Active","Multiplexer/Demultiplexer","4 x 1:2","4","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C (TA)","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74cb3t16211","//media.digikey.com/Renders/Texas%20Instr%20Renders/56-TSSOP.jpg","296-16978-2-ND,296-16978-1-ND,296-16978-6-ND","SN74CB3T16211DGGR","Texas Instruments","Texas Instruments","IC BUS SWITCH 12 X 1:1 56TSSOP","3,301","4.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74CB","Active","Bus Switch","12 x 1:1","2","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","56-TFSOP (0.240"", 6.10mm Width)","56-TSSOP"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74cb3t16210","//media.digikey.com/photos/Texas%20Instr%20Photos/296-48-TVSOP.jpg","296-19148-2-ND,296-19148-1-ND,296-19148-6-ND","SN74CB3T16210DGVR","Texas Instruments","Texas Instruments","IC BUS SWITCH 10 X 1:1 48TVSOP","4,282","4.47","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74CB","Active","Bus Switch","10 x 1:1","2","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.173"", 4.40mm Width)","48-TVSOP"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74cb3t16210","//media.digikey.com/Photos/Texas%20Instr%20Photos/Mfg_296~4040078~DGG~48.jpg","296-19147-2-ND,296-19147-1-ND,296-19147-6-ND","SN74CB3T16210DGGR","Texas Instruments","Texas Instruments","IC BUS SWITCH 10 X 1:1 48TSSOP","3,610","4.63","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74CB","Active","Bus Switch","10 x 1:1","2","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"https://www.idt.com/document/dst/qs34x245-datasheet","//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/80-FSOP.jpg","800-1743-5-ND","QS34X245Q3G","Renesas Electronics America Inc","Renesas Electronics America Inc","IC BUS SWITCH 8 X 1:1 80QVSOP","2,548","2.98","0","1","Tube","34X","Active","Bus Switch","8 x 1:1","4","-","Single Supply","4.75V ~ 5.25V","-40°C ~ 85°C","Surface Mount","80-FSOP (0.154"", 3.90mm Width)","80-QVSOP"
"https://www.idt.com/document/dst/qs3vh16233-datasheet","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/56TFSOP.jpg","800-1868-2-ND,800-1868-1-ND,800-1868-6-ND","QS3VH16233PAG8","Renesas Electronics America Inc","Renesas Electronics America Inc","IC MUX/DEMUX 2 X 16:8 56TSSOP","3,350","6.7","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","3VH","Active","Multiplexer/Demultiplexer","2 x 16:8","2","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","56-TFSOP (0.240"", 6.10mm Width)","56-TSSOP"
"https://ww1.microchip.com/downloads/en/DeviceDoc/sy89543l.pdf","//media.digikey.com/photos/Micrel%20Photos/576-32-MLF.jpg","SY89543LMG-TR-ND,SY89543LMG-CT-ND,SY89543LMG-DKR-ND","SY89543LMG-TR","Microchip Technology","Microchip Technology","IC MULTIPLEXER 1 X 2:1 32MLF","1,080","7.22","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Precision Edge®","Active","Multiplexer","1 x 2:1","2","-","Single Supply","3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, 32-MLF®","32-MLF® (5x5)"
"http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en582960","//media.digikey.com/photos/Micrel%20Photos/576-32-MLF.jpg","SY89544UMG-TR-ND,SY89544UMG-CT-ND,SY89544UMG-DKR-ND","SY89544UMG-TR","Microchip Technology","Microchip Technology","IC MULTIPLEXER 1 X 4:1 32MLF","2,616","8.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Precision Edge®","Active","Multiplexer","1 x 4:1","1","-","Single Supply","2.375V ~ 2.625V","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, 32-MLF®","32-MLF® (5x5)"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fds25cp152","//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SQA16A.jpg","DS25CP152TSQ/NOPBTR-ND,DS25CP152TSQ/NOPBCT-ND,DS25CP152TSQ/NOPBDKR-ND","DS25CP152TSQ/NOPB","Texas Instruments","Texas Instruments","IC CROSSPOINT SW 1 X 2:2 16WQFN","661","12.85","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Crosspoint Switch","1 x 2:2","1","-","Single Supply","3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","16-WFQFN Exposed Pad","16-WQFN (4x4)"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fds25cp102","//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SQA16A.jpg","DS25CP102TSQ/NOPBTR-ND,DS25CP102TSQ/NOPBCT-ND,DS25CP102TSQ/NOPBDKR-ND","DS25CP102TSQ/NOPB","Texas Instruments","Texas Instruments","IC CROSSPOINT SW 1 X 2:2 16WQFN","2,581","15.09","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Crosspoint Switch","1 x 2:2","1","-","Single Supply","3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","16-WFQFN Exposed Pad","16-WQFN (4x4)"
