Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.vishay.com/docs/28449/225edlc-r-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_MAL222591003E3.jpg","56-MAL222551013E3-ND","MAL222551013E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 10F -20% +50% 2.7V T/H","3,555","4.4","0","1","Tray","ENYCAP™ 225 EDLC-R","Active","10 F","-20%, +50%","2.7 V","20mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.260"" (32.00mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11480-ND","SCMR22C155PRBA0","AVX Corporation","AVX Corporation","CAP 1.5F 0% +100% 5V T/H","2,336","4.43","0","1","Bulk","SCM","Active","1.5 F","0%, +100%","5 V","190mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.925"" (23.50mm)","-40°C ~ 85°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM_HighRel.jpg","478-10016-ND","SCMR18C105PSBA0H","AVX Corporation","AVX Corporation","CAP 1F 0% +100% 5V T/H","307","4.43","0","1","Bulk","SCM","Active","1 F","0%, +100%","5 V","250mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.728"" L x 0.374"" W (18.50mm x 9.50mm)","0.846"" (21.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLC-3R8/20MR10X16","//media.digikey.com/photos/TecateGroup/MFG_TPLC-3R8-20MR10X16.jpg","2085-TPLC-3R8/20MR10X16-ND","TPLC-3R8/20MR10X16","Tecate Group","Tecate Group","CAP HYBRID 20F 3.8V T/H","347","4.47","0","1","Tray","TPLC","Active","20 F","±20%","3.8 V","300mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.709"" (18.00mm)","-15°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-SCMR22D155PRBB0-ND","SCMR22D155PRBB0","AVX Corporation","AVX Corporation","CAP 1.5F 0% +100% 5.4V T/H","959","4.52","0","1","Bulk","SCM","Active","1.5 F","0%, +100%","5.4 V","190mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.925"" (23.50mm)","-40°C ~ 85°C"
"http://www.maxwell.com/images/documents/3V_3F_datasheet.pdf","//media.digikey.com/Photos/Maxwell%20Technologies%20Photos/MFG_BCAP000X.jpg","1182-1056-ND","BCAP0003 P300 X12","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 3F 3V THROUGH HOLE","10,992","4.73","0","1","Bulk","-","Active","3 F","-","3 V","95mOhm","-","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.807"" (20.50mm)","-40°C ~ 65°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11307-ND","SCMR18H105PRBB0","AVX Corporation","AVX Corporation","CAP 1F 0% +100% 6V T/H","730","4.81","0","1","Bulk","SCM","Active","1 F","0%, +100%","6 V","250mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.768"" (19.50mm)","-40°C ~ 65°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-supercapacitor-hybrid-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Eaton-Electronics/MFG_HS1016.jpg","283-HSL1016-3R8306-R-ND","HSL1016-3R8306-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP HYBRID 30F 20% 3.8V TH","285","4.85","0","1","Bulk","HSL","Active","30 F","±20%","3.8 V","550mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","0.709"" (18.00mm)","-25°C ~ 60°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11308-ND","SCMR22H155PRBB0","AVX Corporation","AVX Corporation","CAP 1.5F 0% +100% 6V T/H","1,732","4.94","0","1","Bulk","SCM","Active","1.5 F","0%, +100%","6 V","200mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.925"" (23.50mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-10018-ND","SCCU25B256SRB","AVX Corporation","AVX Corporation","CAP 25F -10% +30% 2.7V T/H","244","4.94","0","1","Bulk","SCC","Active","25 F","-10%, +30%","2.7 V","27mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 65°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11301-ND","SCMS22F255PRBA0","AVX Corporation","AVX Corporation","CAP 2.5F 0% +100% 5.5V T/H","1,994","5.09","0","1","Bulk","SCM","Active","2.5 F","0%, +100%","5.5 V","180mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.610"" (15.50mm)","0.787"" L x 0.394"" W (20.00mm x 10.00mm)","0.925"" (23.50mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/XP_2_7_10F_ds_3001977_datasheet.pdf","//media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BCAP0010-P270-X01.jpg","1182-1049-ND","BCAP0010 P270 X01","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 10F -10% +20% 2.7V T/H","1,611","5.11","0","1","Bulk","-","Active","10 F","-10%, +20%","2.7 V","30mOhm","-","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.240"" (31.50mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FG0V155ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/MFG_FG0V155ZF.jpg","399-17197-ND","FG0V155ZF","KEMET","KEMET","CAP 1.5F -20% +80% 3.5V T/H","563","5.11","0","1","Bulk","FG","Active","1.5 F","-20%, +80%","3.5 V","65Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.650"" Dia (16.50mm)","0.551"" (14.00mm)","-25°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/35WR16X31","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/35WR16X31-ND","TPLH-2R7/35WR16X31","Tecate Group","Tecate Group","CAP 35F 2.7V THROUGH HOLE","623","5.15","0","1","Bulk","TPLH-2R7","Active","35 F","-","2.7 V","19mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
