Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-12181-ND","SCMR14G334SRBB0","AVX Corporation","AVX Corporation","CAP 330MF -10% +30% 7.5V T/H","1,457","7.31","0","1","Bulk","SCM","Active","330 mF","-10%, +30%","7.5 V","450mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.531"" (13.50mm)","0.945"" L x 0.315"" W (24.00mm x 8.00mm)","0.610"" (15.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBL-5.0/5.4","//media.digikey.com/Photos/TecateGroup/MFG_SCAP,PBL-0.5_5.4.jpg","2085-SCAPPBL-5.0/5.4-ND","SCAP,PBL-5.0/5.4","Tecate Group","Tecate Group","CAP 5F 5.4V THROUGH HOLE","809","7.38","0","1","Bulk","PBL","Active","5 F","-","5.4 V","120mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.606"" (15.40mm)","0.866"" L x 0.472"" W (22.00mm x 12.00mm)","1.378"" (35.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4V255-R.JPG","283-4187-ND","PHV-5R4V255-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 2.5F -10% +30% 5.4V T/H","5,765","7.43","0","1","Bulk","PHV","Active","2.5 F","-10%, +30%","5.4 V","80mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","0.906"" (23.00mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FR0H105ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FR0H105ZF.JPG","399-10808-ND","FR0H105ZF","KEMET","KEMET","CAP 1F -20% +80% 5.5V T/H","0","7.46","0","1","Bulk","FR","Active","1 F","-20%, +80%","5.5 V","60Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.300"" (7.62mm)","0.846"" Dia (21.50mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4V155-R.JPG","283-4205-ND","PHV-5R4V155-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1.5F -10% +30% 5.4V T/H","2,406","7.66","0","1","Bulk","PHV","Active","1.5 F","-10%, +30%","5.4 V","160mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.866"" L x 0.681"" W (22.00mm x 17.30mm)","0.354"" (9.00mm)","-40°C ~ 65°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-12183-ND","SCMR22G105SRBB0","AVX Corporation","AVX Corporation","CAP 1F -10% +30% 7.5V T/H","594","7.69","0","1","Bulk","SCM","Active","1 F","-10%, +30%","7.5 V","180mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.531"" (13.50mm)","0.945"" L x 0.315"" W (24.00mm x 8.00mm)","0.925"" (23.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLL-5.0/5.4","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLL-0.25_5.4.jpg","2085-SCAPPBLL-5.0/5.4-ND","SCAP,PBLL-5.0/5.4","Tecate Group","Tecate Group","CAP 5F 5.4V UCAP PACK","151","8.06","0","1","Bulk","PBLL","Active","5 F","-","5.4 V","185mOhm @ 1kHz","1000 Hrs @ 85°C","Wire Leads with Connector","User Defined","Radial, Can","-","0.866"" L x 0.472"" W (22.00mm x 12.00mm)","1.378"" (35.00mm)","-40°C ~ 85°C"
"https://api.kemet.com/component-edge/download/datasheet/FG0H225ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FGx0H105ZF.jpg","399-10814-ND","FG0H225ZF","KEMET","KEMET","CAP 2.2F -20% +80% 5.5V T/H","352","8.53","0","1","Bulk","FG","Active","2.2 F","-20%, +80%","5.5 V","35Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.300"" (7.62mm)","0.846"" Dia (21.50mm)","0.748"" (19.00mm)","-25°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hb-supercapacitor-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB1635-2R5356-R.jpg","283-3129-ND","HB1635-2R5356-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 35F -10% +30% 2.5V T/H","1,644","8.69","0","1","Bulk","HB","Active","35 F","-10%, +30%","2.5 V","30mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.650"" Dia (16.50mm)","1.496"" (38.00mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691152E3.JPG","4698PHBK-ND","MAL219691152E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 2.8V SMD","859","8.79","0","1","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","2.8 V","5Ohm @ 1kHz","1000 Hrs @ 85°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.551"" L x 0.276"" W (14.00mm x 7.00mm)","0.150"" (3.80mm)","-20°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hb-supercapacitor-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB1840-2R5606-R.jpg","283-3130-ND","HB1840-2R5606-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 60F -10% +30% 2.5V T/H","2,106","9.7","0","1","Bulk","HB","Active","60 F","-10%, +30%","2.5 V","25mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.728"" Dia (18.50mm)","1.654"" (42.00mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691203E3.JPG","4701PHBK-ND","MAL219691203E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 4.2V T/H","140","10.09","0","1","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","4.2 V","1.8Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.492"" (12.50mm)","0.472"" Dia (12.00mm)","0.295"" (7.50mm)","-20°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-pm-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/pm-5r0v305-r.JPG","283-2858-ND","PM-5R0V305-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 3F -20% +80% 5V T/H","2,492","10.15","0","1","Bulk","PM","Active","3 F","-20%, +80%","5 V","70mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","1.280"" (32.50mm)","-40°C ~ 60°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phb-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0H155-R.JPG","283-3527-ND","PHB-5R0H155-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1.5F -10% +30% 5V T/H","1,202","8.37","0","1","Bulk","PHB","Active","1.5 F","-10%, +30%","5 V","330mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can, Horizontal","0.465"" (11.80mm)","0.866"" L x 0.681"" W (22.00mm x 17.30mm)","0.354"" (9.00mm)","-25°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4V305-R.JPG","283-4185-ND","PHV-5R4V305-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 3F -10% +30% 5.4V T/H","832","11.74","0","1","Bulk","PHV","Active","3 F","-10%, +30%","5.4 V","80mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","1.280"" (32.50mm)","-40°C ~ 65°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kw-supercapacitors-coin-cells-data-sheet.pdf","-","283-5150-ND","KW-5R5C105H-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5.5V T/H","450","11.94","0","1","Tape & Reel (TR)","KW","Active","1 F","-20%, +80%","5.5 V","30Ohm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.348"" (8.85mm)","-40°C ~ 85°C"
"http://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219690116E3.jpg","4883PHBK-ND","MAL219690116E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAPACITOR 90F -20% +80% 1.4V T/H","277","11.97","0","1","Tray","ENYCAP™ 196HVC","Active","90 F","-20%, +80%","1.4 V","15mOhm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.394"" (10.00mm)","1.378"" L x 0.984"" W (35.00mm x 25.00mm)","0.197"" (5.00mm)","-20°C ~ 85°C"
"https://api.kemet.com/component-edge/download/datasheet/FE0H474ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FE0H155ZF.JPG","399-17195-ND","FE0H474ZF","KEMET","KEMET","CAP 470MF -20% +80% 5.5V T/H","271","12.23","0","1","Bulk","FE","Active","470 mF","-20%, +80%","5.5 V","1.8Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.402"" (10.20mm)","1.122"" Dia (28.50mm)","0.650"" (16.50mm)","-40°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phb-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0V505-R.JPG","283-3520-ND","PHB-5R0V505-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 5F -10% +30% 5V T/H","496","12.53","0","1","Bulk","PHB","Active","5 F","-10%, +30%","5 V","130mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","1.280"" (32.50mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691214E3.JPG","4706PHBK-ND","MAL219691214E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 5.6V T/H","388","12.74","0","1","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","5.6 V","2.4Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.197"" (5.00mm)","0.472"" Dia x 0.394"" L (12.00mm x 10.00mm)","0.472"" (12.00mm)","-20°C ~ 85°C"
"http://datasheets.avx.com/BestCap.pdf","-","478-13087-ND","BZ094B153ZNBA1","AVX Corporation","AVX Corporation","CAP 15MF -20% +80% 4.5V SMD","476","12.91","0","1","Bulk","BestCap® BZ","Active","15 mF","-20%, +80%","4.5 V","300mOhm @ 1kHz","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ09, 2 Lead","-","0.669"" L x 0.591"" W (17.00mm x 15.00mm)","0.094"" (2.40mm)","-20°C ~ 70°C"
"-","//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/LP12352R7206.jpg","587-6434-ND","LP12352R7206","Taiyo Yuden","Taiyo Yuden","SUPERCAPACITOR 20F 2.7V","300","13.91","0","1","Bulk","LP","Active","20 F","±20%","2.7 V","-","-","PC Pins","Through Hole","Radial, Can","-","0.492"" Dia (12.50mm)","1.457"" (37.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4H305-R.JPG","283-4186-ND","PHV-5R4H305-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 3F -10% +30% 5.4V T/H","533","14.09","0","1","Bulk","PHV","Active","3 F","-10%, +30%","5.4 V","80mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can, Horizontal","0.465"" (11.80mm)","1.280"" L x 0.681"" W (32.50mm x 17.30mm)","0.354"" (9.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-3519-ND","BZ054B223ZSB","AVX Corporation","AVX Corporation","CAP 22MF -20% +80% 4.5V SMD","273","14.36","0","1","Tray","BestCap® BZ","Active","22 mF","-20%, +80%","4.5 V","170mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.083"" (2.10mm)","-20°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4H255-R.JPG","283-4188-ND","PHV-5R4H255-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 2.5F -10% +30% 5.4V T/H","405","14.37","0","1","Bulk","PHV","Active","2.5 F","-10%, +30%","5.4 V","80mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can, Horizontal","0.209"" (5.30mm)","0.906"" L x 0.839"" W (23.00mm x 21.30mm)","0.433"" (11.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-3646-ND","BZ055A333ZSB","AVX Corporation","AVX Corporation","CAP 33MF -20% +80% 5.5V SMD","3,400","14.68","0","1","Tray","BestCap® BZ","Active","33 mF","-20%, +80%","5.5 V","250mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.138"" (3.50mm)","-20°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-tv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Eaton%20Bussmann/MFG_TV_Supercap_Hero.jpg","283-4674-ND","TV1860-3R0107-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 100F -10% +30% 3V T/H","625","14.82","0","1","Bulk","TV","Active","100 F","-10%, +30%","3 V","11mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.728"" Dia (18.50mm)","2.382"" (60.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-3R0/350SS35X61","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-3V.jpg","2085-TPLH-3R0/350SS35X61-ND","TPLH-3R0/350SS35X61","Tecate Group","Tecate Group","CAP 350F 3V THROUGH HOLE","188","15.09","0","1","Bulk","TPLH-3V","Active","350 F","-","3 V","4mOhm","1500 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can - Snap-In - 4 Lead","0.902"" (22.90mm)","1.378"" Dia (35.00mm)","2.480"" (63.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLS-1.25/21.6","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLS-4.25_21.6.jpg","2085-SCAP,PBLS-1.25/21.6-ND","SCAP,PBLS-1.25/21.6","Tecate Group","Tecate Group","CAP 1.25F -10% +20% 21.6V UCAP","139","18.38","0","1","Bulk","PBLS","Active","1.25 F","-10%, +20%","21.6 V","540mOhm","1000 Hrs @ 65°C","Wire Leads with Connector","User Defined","Module, Wire Leads","-","1.693"" L x 0.866"" W (43.00mm x 22.00mm)","1.417"" (36.00mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FS1A474ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FS0H224ZF.jpg","399-17211-ND","FS1A474ZF","KEMET","KEMET","CAP 470MF -20% +80% 11V T/H","109","19.89","0","1","Bulk","FS","Active","470 mF","-20%, +80%","11 V","7Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.400"" (10.16mm)","1.122"" Dia (28.50mm)","1.004"" (25.50mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219690101E3.JPG","4703PHBK-ND","MAL219690101E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 90F -20% +80% 4.2V T/H","478","21.08","0","1","Tray","ENYCAP™ 196HVC","Active","90 F","-20%, +80%","4.2 V","40mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.394"" (10.00mm)","1.378"" L x 0.984"" W (35.00mm x 25.00mm)","0.394"" (10.00mm)","-20°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4V505-R.JPG","283-4189-ND","PHV-5R4V505-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 5F -10% +30% 5.4V T/H","248","21.91","0","1","Bulk","PHV","Active","5 F","-10%, +30%","5.4 V","70mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","1.280"" (32.50mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-6261-ND","BZ015A503ZLB","AVX Corporation","AVX Corporation","CAP 50MF -20% +80% 5.5V T/H","265","22.01","0","1","Bulk","BestCap® BZ","Active","50 mF","-20%, +80%","5.5 V","160mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","0.138"" (3.50mm)","-20°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLS-1.0/27","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLS-3.4_27.jpg","2085-SCAP,PBLS-1.0/27-ND","SCAP,PBLS-1.0/27","Tecate Group","Tecate Group","CAP 1F -10% +20% 27V UCAP PACK","145","22.12","0","1","Bulk","PBLS","Active","1 F","-10%, +20%","27 V","660mOhm","1000 Hrs @ 65°C","Wire Leads with Connector","User Defined","Module, Wire Leads","-","2.106"" L x 0.866"" W (53.50mm x 22.00mm)","1.417"" (36.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-6278-ND","BZ055A683ZSB","AVX Corporation","AVX Corporation","CAP 68MF -20% +80% 5.5V SMD","351","22.2","0","1","Bulk","BestCap® BZ","Active","68 mF","-20%, +80%","5.5 V","125mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.240"" (6.10mm)","-20°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLS-0.83/32.4","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLS-4.25_21.6.jpg","2085-SCAP,PBLS-0.83/32.4-ND","SCAP,PBLS-0.83/32.4","Tecate Group","Tecate Group","CAP 830MF -10% +20% 32.4V UCAP","45","25.85","0","1","Bulk","PBLS","Active","830 mF","-10%, +20%","32.4 V","780mOhm","1000 Hrs @ 65°C","Wire Leads with Connector","User Defined","Module, Wire Leads","-","2.520"" L x 0.866"" W (64.00mm x 22.00mm)","1.417"" (36.00mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FS1A105ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/MFG_FS_Series.jpg","399-17210-ND","FS1A105ZF","KEMET","KEMET","CAP 1F -20% +80% 11V T/H","444","26.07","0","1","Bulk","FS","Active","1 F","-20%, +80%","11 V","7Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.400"" (10.16mm)","1.122"" Dia (28.50mm)","1.240"" (31.50mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-6270-ND","BZ019B223ZSB","AVX Corporation","AVX Corporation","CAP 22MF -20% +80% 9V SMD","233","26.46","0","1","Bulk","BestCap® BZ","Active","22 mF","-20%, +80%","9 V","250mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","0.205"" (5.20mm)","-20°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLS-2.0/13.5","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLS-4.25_21.6.jpg","2085-SCAP,PBLS-2.0/13.5-ND","SCAP,PBLS-2.0/13.5","Tecate Group","Tecate Group","CAP 2F -10% +20% 13.5V UCAP PACK","179","26.5","0","1","Bulk","PBLS","Active","2 F","-10%, +20%","13.5 V","360mOhm","1000 Hrs @ 65°C","Wire Leads with Connector","User Defined","Module, Wire Leads","-","2.106"" L x 0.453"" W (53.50mm x 11.50mm)","1.417"" (36.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-6279-ND","BZ055B333ZSB","AVX Corporation","AVX Corporation","CAP 33MF -20% +80% 5.5V SMD","0","26.67","0","1","Bulk","BestCap® BZ","Active","33 mF","-20%, +80%","5.5 V","125mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.189"" (4.80mm)","-20°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219690102E3.JPG","4707PHBK-ND","MAL219690102E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 90F -20% +80% 5.6V T/H","1,455","27.33","0","1","Tray","ENYCAP™ 196HVC","Active","90 F","-20%, +80%","5.6 V","60mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.492"" (12.50mm)","1.378"" L x 0.591"" W (35.00mm x 15.00mm)","1.043"" (26.50mm)","-20°C ~ 85°C"
"-","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-POST.jpg","2085-TPLH-2R7/650SL60X51-ND","TPLH-2R7/650SL60X51","Tecate Group","Tecate Group","CAP 650F 2.7V CHASSIS STUD MOUNT","113","57.18","0","1","Bulk","TPLH-POST","Active","650 F","-","2.7 V","0.35mOhm","1500 Hrs @ 65°C","Screw Terminals","Chassis, Stud Mount","Axial, Can - Screw Terminals","-","2.362"" Dia (60.00mm)","2.047"" (52.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/3000SL60X138","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-POST.jpg","2085-TPLH-2R7/3000SL60138-ND","TPLH-2R7/3000SL60138","Tecate Group","Tecate Group","CAP 3000F 2.7V CHASSIS MOUNT","124","78.37","0","1","Bulk","TPLH-POST","Active","3000 F","-","2.7 V","0.26mOhm","1500 Hrs @ 65°C","Screw Terminals","Chassis, Stud Mount","Axial, Can - Screw Terminals","-","2.362"" Dia (60.00mm)","5.374"" (136.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","1572-1270-ND","105DCN2R7S","Illinois Capacitor","Illinois Capacitor","CAP 1F -20%, +50% 2.7V T/H","2,929","1.54","0","1","Bulk","DCN","Active","1 F","-20%, +50%","2.7 V","400mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.532"" (13.50mm)","-40°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/UM%20Series%20EVerCap.pdf","//media.digikey.com/photos/Nichicon%20Photos/JUMT1474MED.JPG","493-3290-ND","JUMT1474MED","Nichicon","Nichicon","CAP 470MF 20% 2.7V T/H","3,001","1.85","0","1","Bulk","EVerCAP® JUM","Active","470 mF","±20%","2.7 V","4Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.413"" (10.50mm)","-25°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/6.0WR10X20","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/6.0WR10X20-ND","TPLH-2R7/6.0WR10X20","Tecate Group","Tecate Group","CAP 6F 2.7V THROUGH HOLE","2,078","2.31","0","1","Bulk","TPLH-2R7","Active","6 F","-","2.7 V","52mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
